GICS.Industry,total_area,coastal_risk_reduction_service_adj_sum,nitrogen_retention_service_adj_sum,sediment_retention_service_adj_sum,endemic_biodiversity_adj_sum,redlist_species_adj_sum,species_richness_adj_sum,kba_within_1km_adj_sum
Metals & Mining,978972.3359,223.540866,309566020,21486537.51,1.98E-05,80.07408713,0.396651504,0
Metals & Mining,15483.00657,0,177397330,137333680.2,6.53E-07,2.470907804,0.0079745,0
Metals & Mining,110906.893,0,212437309.7,1198484630,2.40E-06,19.54474756,0.050458144,0
Metals & Mining,3848635.133,0,3835519341,3938195937,3.04E-05,109.5738433,1.067339805,8.19624562
Metals & Mining,145951.1521,0,103403375.5,128359378.5,1.70E-06,11.6877709,0.056378719,0
Metals & Mining,666482.114,0,39626696.01,470923.329,1.11E-05,22.84047161,0.237882788,0
Metals & Mining,5619.610293,0,5500424.603,336174.766,1.41E-07,0.99904183,0.0024794,0
Metals & Mining,5619.610292,0,2413839.413,255819.7242,7.50E-07,2.747365032,0.005169968,0
Metals & Mining,5619.610292,0,30169480.77,350767.6762,7.50E-08,0.936601715,0.001951985,0
Metals & Mining,27781283.89,51934.27243,14634846766,32955747420,0.000285414,2220.505618,10.06303999,0.109593292
Metals & Mining,106663.107,0,83768149.7,337545.1053,1.04E-06,14.53394817,0.03077058,0
Metals & Mining,21102.61687,0,14863918.71,8345423.665,6.06E-07,3.09401658,0.006257,0
Metals & Mining,31183.05555,2229.504772,2070741.128,44206.77053,2.49E-07,3.333788189,0.009883318,0.062440114
Metals & Mining,9863.39628,0,2155118.332,145179.3846,9.35E-08,1.64389938,0.002736569,0
Metals & Mining,1988207.122,0,1698998487,2726223252,1.54E-05,221.0992227,0.533662913,7.342916708
Metals & Mining,1327344.618,0,594076386.8,96535631.19,7.04E-06,169.6363657,0.269475578,7.342916708
Paper & Forest Products,1292847.698,-5.24E-14,47834083.02,229493.3822,5.16E-06,64.24639038,0.250370071,1.060265404
Paper & Forest Products,2528349.27,3651.538394,1594251976,40536482.86,1.34E-05,141.0026162,0.581198215,3.908030826
Paper & Forest Products,2907011.314,9792.625806,794237929.8,4489633.921,1.60E-05,130.1246475,0.654799384,4.871578292
Paper & Forest Products,1434441.026,245.5044235,547657063.7,1344858045,2.16E-05,96.68194672,0.381046953,0.221598166
Paper & Forest Products,444889.3586,0,227755870.2,267694526.1,3.86E-06,22.04968802,0.126415527,0.284038281
Paper & Forest Products,335588.6405,11131.86554,42897735.02,99518552.99,0.000149361,102.0122499,0.298557159,0
Paper & Forest Products,217569.9999,1403.007418,8332076.283,71550034.41,3.37E-05,27.68409635,0.121523633,0
Paper & Forest Products,1137250.194,86.61196247,130188013.2,42070959.31,9.64E-06,65.52345101,0.360151875,1.185145633
Paper & Forest Products,3853478.543,40158.53283,368541014.2,1371281713,0.000386835,406.4919894,1.116942222,4.746698064
Paper & Forest Products,5619.610291,0,8647449.323,100311.2457,5.48E-08,0.99904183,0.001628986,0
